sortie_id,report_date,unit,squadron,source_front_image,paired_back_candidate_by_rule,paired_back_reviewed,aircraft_type,aircraft_count,base,oprep_ref,lead_aircraft,primary_target,alternate_target,target_status,time_up,time_over_target,time_down,route_summary,observation_points_raw,map_reference,weather_summary,bomb_load_carried,bombs_on_target,bombs_salvoed_or_jettisoned,bombs_returned,bombing_course,bombing_speed,bombing_altitude,bombing_interval,ammo_expended,results_summary,opposition_summary,casualties,photo_aircraft,leaflet_drops,special_remarks,coordinate_count,confidence,map_points_json
484BS_1944-10-01,1944-10-01,12th Bombardment Group (M),484th Squadron,IMG_3362.JPG,IMG_3363.JPG,no,12 B-25s,12,Comilla,,,"rail bridge over Panlaung River at Myittha, Burma","rail yards at Kyaukse, Burma",alternate attacked,0835,1034-1104,1245,"All aircraft took off from 0830 to 0837 and flew out on a course of 115 degrees. At 0916 near 23 10N, 91 40E, aircraft 87 turned back due to engine trouble; the other 11 continued to target and returned on a course of 294 degrees. Bomb run 350 to 360 degrees at indicated 5300-5800 feet, IAS 180 MPH.",23 10N 91 40E; 23 17N 91 46E; LF 5407; LF 2618,,,,,,,360 degrees,180 MPH,5800 feet,,,,,,,,A/C 87 salvoed due to engine trouble and landed back at base at 0916. Rule-linked candidate backside IMG_3363.JPG appears to be another Part A front and has not been treated as this sortie back.,2,high for front-page extraction; backside linkage unresolved,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 23.283333, ""lon"": 91.766667, ""label"": ""23 17N 91 46E""}, {""kind"": ""coordinate"", ""lat"": 20.85, ""lon"": 96.37, ""label"": ""Myittha""}, {""kind"": ""coordinate"", ""lat"": 21.6056, ""lon"": 96.135, ""label"": ""Kyaukse""}, {""kind"": ""event_coordinate"", ""lat"": 23.166667, ""lon"": 91.666667, ""label"": ""23 10N, 91 40E""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
82BS_1944-10-01_B,1944-10-01,12th Bombardment Group (M),82nd Squadron,IMG_3363.JPG,IMG_3364.JPG,no,10 Mitchells,10,base field not legible on front page,,,"Demolition bombing of railroad bridge at Bawgyo, Burma",,,0658,0921-0934,1125,"Target weather notes 5/10 cloud over target with 8500-foot overcast and winds from the north-south. Bombing was split into two boxes. First-box narrative says the pattern lay along the bridge and second-box remarks say the pattern again ran short of the bridge. The front page is legible enough to confirm the Bawgyo bridge strike, but several route lines remain faint.",Bawgyo 22 34N 97 12E; aircraft-related coordinates visible on front include 22 44N 95 39E and 22 45N 96 20E,,and mechanical trouble. Rule-linked candidate IMG_3364.JPG has not yet been reviewed,68 x 500-lb Comp B fused 1/10 nose,51,6,alive: 11,185 degrees,185 MPH,5500 feet,20 feet,472 rounds,,,,,,Bombs carried: 68 x 500-lb Comp B fused 1/10 nose. Bombs on target: 51. Bombs salvoed: 6. Bombs brought back alive: 11. Bombing courses listed as 185 degrees for the first box and 175 degrees for the second; speeds shown as 187 and 185 MPH; altitudes shown as 2300 and 5500 feet; interval 20 feet. Ammunition expended: 472 rounds .50 cal. The page also records that aircraft 31 was forced to leave after a salvo and aircraft 32 left formation due to bad weather and mechanical trouble. Rule-linked candidate IMG_3364.JPG has not yet been reviewed.,3,"medium-high: core mission fields clear, some route lines faint","[{""kind"": ""coordinate"", ""lat"": 22.566667, ""lon"": 97.2, ""label"": ""22 34N 97 12E""}, {""kind"": ""coordinate"", ""lat"": 22.733333, ""lon"": 95.65, ""label"": ""22 44N 95 39E""}, {""kind"": ""coordinate"", ""lat"": 22.75, ""lon"": 96.333333, ""label"": ""22 45N 96 20E""}]"
81BS_1944-10-02,1944-10-02,12th Bombardment Group (M),81st Squadron,IMG_3373.JPG,IMG_3374.JPG,no,"12 B-25s (8 H's, 4 J's)",12,Feni,,,"Mangshih, southwest portion of area B",,alternate attacked,0731,1014 / 1023,1220,"Mission from Feni against Mangshih. Front page gives bombing times 1014 and 1023, first box heading 110 degrees and second box heading 90 degrees, with bombing from roughly 7000 to 7020 feet absolute. A/C 14 turned home at 0815 near 23 32N, 92 59E; A/C 19 left formation at 1047 at Bhamo, presumably for Myitkyina.",23 32N 92 59E; Bhamo area; Burma Road at D60-475,,,,220 x 100 GP,,,110 degrees,,7020 feet,,,,and casualties listed as nil. Rule-linked candidate backside IMG_3374,listed as nil,,,Bombs dropped on target: 220 x 100 GP. Brought back: 22 x 100. Opposition and casualties listed as nil. Rule-linked candidate backside IMG_3374.JPG not yet individually reviewed.,1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 24.4367, ""lon"": 98.5858, ""label"": ""Mangshih""}, {""kind"": ""event_coordinate"", ""lat"": 23.533333, ""lon"": 92.983333, ""label"": ""23 32N, 92 59E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-02,1944-10-02,12th Bombardment Group (M),82nd Squadron attached list,IMG_3369.JPG,IMG_3370.JPG,no,9 Mitchells,9,Fenny,,,KUTKAI area (S08518) with alternate stores and barracks area at KUTKAI,,alternate attacked,0745,1035 first box / 1037 second box,1245,Front page records a two-box strike from Fenny toward the Kutkai area. The first box hit the target area and the second box attacked an alternate stores-and-barracks objective near Kutkai after weather prevented more precise observation.,KUTKAI (S08518); Speen 8900/7800/7300; 50 rounds .50 cal,,,by the first box and six by the second,,,,,,,,,,,,,,"Forty-eight 500-lb bombs carried by the first box and six by the second; bombs were turned back to the alternate after cloud closed in over the primary. Several aircraft landed at Feni around 1240, with one aircraft stopping at Imphal for gasoline and not yet returned when the report was written. Rule-linked candidate IMG_3370.JPG has not yet been reviewed as a true back.",0,medium; timing and target details are legible but some narrative lines remain fragmentary,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 23.1889, ""lon"": 97.4389, ""label"": ""Kutkai""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
83BS_1944-10-02,1944-10-02,12th Bombardment Group (M),83rd Bombardment Squadron,IMG_3368.JPG,IMG_3369.JPG,no,8 Mitchell B-25s,8,"Fenny A/D, India",,,"Four bomb stores areas at Mangshih, China",,,0845,1058 first box / 1037 second box,1225,"Strike from Fenny against four bomb-store areas at Mangshih. Front page notes all aircraft reached the target area after crossing the Chin Hills and Irrawaddy valley. Narrative records that the first box bombed at 1058 and the second at 1037, with route weather ranging from cumulus over the Chin Hills to clearer conditions toward the target area.",23 51N 94 05E; 23 25N 94 05E; 23 58N 96 03N; 23 25N 96 03E,,,,,,,,,,,,,,,,,"Sixty 500-lb bombs carried; 48 dropped on target and 6 brought back. The page also notes a direct course back to base and references multiple store areas around Mangshih. Rule-linked candidate IMG_3369.JPG appears to be a separate 82nd Squadron front, not a confirmed reverse side.",3,medium-high; legible front-page extraction with some weather text still partial,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}, {""kind"": ""coordinate"", ""lat"": 23.85, ""lon"": 94.083333, ""label"": ""23 51N 94 05E""}, {""kind"": ""coordinate"", ""lat"": 23.416667, ""lon"": 94.083333, ""label"": ""23 25N 94 05E""}, {""kind"": ""coordinate"", ""lat"": 23.416667, ""lon"": 96.05, ""label"": ""23 25N 96 03E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}]"
81BS_1944-10-03_B,1944-10-03,12th Bombardment Group (M),81st Squadron,IMG_3380.JPG,IMG_3381.JPG,no,"12 B-25s, 4 J's, 7 H's, 1 C",12,Feni,,,"Stores area A at Mangshih, China",,alternate attacked,0735,1050,1052-1240,"Poor-weather mission from Feni. Extremely bad weather near 24 30N, 96 35E caused the formation to break up; the 1st, 2nd, and 4th elements returned to base at 1052, while the 3rd element attempted the primary, found it and the alternate closed in, then attacked the bridge south of Mawlu from 7000 feet on a heading of 180 degrees at IAS 180.",24 30N 96 35E; SG 845275; Bhamo,,,,,,,,,7000 feet,,,,,,were taken from a fixed camera in A/C 20,,"264 x 100 GP carried; 66 dropped and 198 brought back. Aircraft 20 and 10 landed at Feni at 1240, and aircraft 09 landed at Imphal for gasoline and had not yet returned when the report was written. Photos were taken from a fixed camera in A/C 20. Rule-linked candidate IMG_3381.JPG has not yet been reviewed.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 24.5, ""lon"": 96.583333, ""label"": ""24 30N, 96 35E""}, {""kind"": ""coordinate"", ""lat"": 24.4367, ""lon"": 98.5858, ""label"": ""Mangshih""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-03_B,1944-10-03,12th Bombardment Group (M),82nd Squadron,IMG_3378.JPG,IMG_3379.JPG,no,6 Mitchells,6,Fenny,,,"Demolition bombing of barracks and stores area at Mangshih, China (SK 5243)",,,0745,1029,1250,"Target area was under a broken stratocumulus layer at 9500 feet, 8/10 covered. Bombing was carried out on course 188 degrees at 165 MPH from 8600 feet with 100-foot intervalometer setting. The pattern started at a road junction just north of the target area and ran south through the middle, covering the northern portion of the area.",Mangshih SK 5243; dugouts observed at SK 2408,,,144 x 100-lb GP fused 1/10 nose and 1/40 tail,,,,188 degrees,165 MPH,9500 feet | 8600 feet,,360 rounds,,"four or five LAA bursts at 7600 feet from AA positions in the south half of the target area, with bursts to the right and behind the aircraft. Casualties nil",nil,"aircraft: A/C 46 with K-24, A/C 42 with K-17, and A/C 35 with K-24",,"Bombs carried: 144 x 100-lb GP fused 1/10 nose and 1/40 tail. All 144 bombs were dropped on target. Ammunition expended: 360 rounds .50 cal. Opposition: four or five LAA bursts at 7600 feet from AA positions in the south half of the target area, with bursts to the right and behind the aircraft. Casualties nil. Photo aircraft: A/C 46 with K-24, A/C 42 with K-17, and A/C 35 with K-24. Observations note a long rectangular series of dugouts at SK 2408 with even lines and red clay around them. Rule-linked candidate IMG_3379.JPG has not yet been reviewed.",0,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 24.4367, ""lon"": 98.5858, ""label"": ""Mangshih""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
83BS_1944-10-03,1944-10-03,12th Bombardment Group (M),83rd Bombardment Squadron,IMG_3377.JPG,IMG_3378.JPG,no,Mitchell B-25,6,"Fenny A/D, India",,,"Bomb stores at area A (north) at Mangshih, China",,primary attacked,0745,1045 / 1025,1205 / 1230,"Six planes in two elements. First element flew base to 23 55N 97 33E, then to 40 miles west of Mangshih, direct to target, direct to base. Second element flew direct to target and returned Bhamo to Imphal to base. Bombing interval 75 feet; course 220 degrees for first element and 100 degrees for second; altitude 12000 feet for first and 6000 feet for second; speed 185 MPH.",23 55N 97 33E; 23 45N 95 55E,,,,,,,220 degrees,185 MPH,12000 feet | 6000 feet,75 feet,,,,,,at 23 45N 95 55E,"132 x 100 GP carried and dropped on target. 20,000 leaflets dropped at 23 45N 95 55E. Plane 60 had not yet returned when the report was written. Rule-linked candidate backside IMG_3378.JPG not yet individually reviewed.",3,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}, {""kind"": ""coordinate"", ""lat"": 23.916667, ""lon"": 97.55, ""label"": ""23 55N 97 33E""}, {""kind"": ""coordinate"", ""lat"": 23.75, ""lon"": 95.916667, ""label"": ""23 45N 95 55E""}, {""kind"": ""coordinate"", ""lat"": 24.0, ""lon"": 95.833333, ""label"": ""24 00N 95 50E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}]"
434BS_1944-10-04,1944-10-04,12th Bombardment Group (M),434th Squadron,IMG_3386.JPG,IMG_3387.JPG,no,12 B-25s,12,Comilla,,,"area along east shore of Chindwin River, Kalewa, Burma","village of Kalemyo, Burma",alternate attacked,1515,1633,1750,"All aircraft took off from 1515 to 1520 and flew on a course of 98 degrees to target. Aircraft 71 and 78 had engine trouble at 1550, turned back at 23 20N, 92 25E, and landed at base with all bombs. The other 10 aircraft returned to base on a course of 298 degrees. Bomb run 325 to 330 degrees at indicated 6000 to 6500 feet, IAS 180 MPH, intervalometer 180 feet.",23 20N 92 25E; hills 10 miles north of Kalewa,,,,,,,330 degrees,180 MPH,6500 feet | 180 feet,180 feet,,,,,"on bomb-run statistics by aircraft 70, 73, and 85",,"144 x 250 lb M-57 GP carried on takeoff; 106 dropped in target area; 3 released armed in hills 10 miles north of Kalewa; 24 brought back to base. Photos on bomb-run statistics by aircraft 70, 73, and 85. Rule-linked candidate backside IMG_3387.JPG not yet individually reviewed.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 23.1914, ""lon"": 94.3011, ""label"": ""Kalewa""}, {""kind"": ""coordinate"", ""lat"": 23.1888, ""lon"": 94.0511, ""label"": ""Kalemyo""}, {""kind"": ""event_coordinate"", ""lat"": 23.333333, ""lon"": 92.416667, ""label"": ""23 20N, 92 25E""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
81BS_1944-10-05_B,1944-10-05,12th Bombardment Group (M),81st Squadron,IMG_3394.JPG,IMG_3395.JPG,no,"12 B-25s (4 J's, 8 H's)",12,FENI,12,21,"Indainggyi, Burma mission",,alternate attacked,0845,0958-1010,1100,"Weather was fair with cumulus 6/10, cloud base 6000 feet and visibility 3 to 4 miles. Bombing narrative describes multiple runs on a bridge in the target area: the first bombs were dropped at 0959, later runs followed at 1001, 1005, and 1010. The text describes smoke rising near a dam and canal-river junction, destroyed track on the north side of the bridge, and the second span from the south being clearly knocked out on a third observation run.",Indainggyi / target area near a dam and canal-river junction; Monywa noted about 5 miles north in flak observation,,,lines are partly crowded but show 220 x 100 GP and an additional 24 x 100 GP entry on takeoff,,,,,,6000 feet,,475 rounds,"say the target bridge was still standing but the northern support may have been weakened and the tracks at the northern end damaged. Photo notes mention bomb-run-statistics photos by A/C 71, 76, and 77, plus a grass fighter strip photographed by A/C 77. Rule-linked candidate IMG_3395",,,"notes mention bomb-run-statistics photos by A/C 71, 76, and 77, plus a grass fighter strip photographed by A/C 77",,"The page identifies 81st Squadron, OpRep 12, with leading aircraft 21 and a crew list headed by Penkhus, Hart, Zehentner, Ferrett, Owings, Katz, and Sewall. Bombs carried lines are partly crowded but show 220 x 100 GP and an additional 24 x 100 GP entry on takeoff. Ammunition expended: 475 rounds .50 cal. Results say the target bridge was still standing but the northern support may have been weakened and the tracks at the northern end damaged. Photo notes mention bomb-run-statistics photos by A/C 71, 76, and 77, plus a grass fighter strip photographed by A/C 77. Rule-linked candidate IMG_3395.JPG has not yet been reviewed.",0,"medium-high: squadron/date/mission clear, some target-line wording remains crowded","[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""FENI""}, {""kind"": ""coordinate"", ""lat"": 22.93, ""lon"": 95.33, ""label"": ""Indainggyi""}, {""kind"": ""coordinate"", ""lat"": 22.1086, ""lon"": 95.1358, ""label"": ""Monywa""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""FENI""}]"
