id,squadron,type,description,start_lat,start_lng,end_lat,end_lng,start_time,duration_hours,altitude,speed,waypoints,origin_base,target_name,num_aircraft,to_check,mission_category
SEVENTHAF-19450805-00,Seventh AF,P-51 Mustang,"VII FC is officially assigned to Twentieth AF. 100-plus P-51's strike A/Fs and military installations in large area around Tokyo, scoring especially effective hits at Katori A/F.",24.78,141.32,35.77,140.81,1945-08-05T06:00:00Z,,25000,362,,Iwo Jima,Katori,100,,Fighter
HAWAIIANAF-19411207-00,Hawaiian AF,P-40 Warhawk,"First wave of Japanese carrier-based airplanes (almost 200) hits US naval base at Pearl Harbor and Hickam Field at 0755. Attacks follow quickly against Wheeler and Bellows Fields. A second wave of Japanese airplanes strikes other naval and military facilities. Hawaiian AF loses 163 men, with about 390 others wounded or missing; has 64 of its 231 assigned aircraft destroyed. Only 79 of the remain- ing aircraft are deemed usable, and much of the AF’s ground facilities are destroyed. These losses are light in comparison with the Navy’s: more than 2,000 killed or missing, and more than 900 wound- ed; 4 battleships sunk; 3 battleships, 3 cruisers, and 3 destroyers damaged; and over half of the Navy’s 169 airplanes in the area destroyed. The Japanese lose 20 aircraft over Hawaii, including 4 claimed destroyed by 2d Lt George S Welch (47th Pur Sq) piloting a P-40, one of the few US ftrs to success fully attack airplanes during the day. About 20 other aircraft are lost by the Japanese during carrier landings. Altogether the Japanese pay a small price for the damage done to the Americans on Oahu. For the remainder of the day, following the attacks, AAF carries out fruitless searches for the carriers.",21.3156,-157.9497,,,1941-12-07T06:00:00Z,,15000,310,,Hickam Field Hawaii,,,,Patrol
ALASKADEFCMD-19411207-00,Alaska Def Cmd,B-18,"Upon learning of the Pearl Harbor attack, the Cmd's B-18's take to the air to avoid being caught on their fields.",61.2428,-149.8113,,,1941-12-07T06:00:00Z,2,12000,210,,Elmendorf Field Alaska,,6,,Tactical Bombing
ALASKADEFCMD-19411207-01,Alaska Def Cmd,P-36,"Upon learning of the Pearl Harbor attack, the Cmd's P-36's take to the air to avoid being caught on their fields.",61.2428,-149.8113,,,1941-12-07T06:00:00Z,2,15000,250,,Elmendorf Field Alaska,,12,,Fighter
FEAF-19411208-00,FEAF,B-17 Flying Fortress,"First word of Japanese attack on Pearl Harbor is received on Luzon in the Philippines by commercial radio between 03000330 local time. Within 30 minutes radar at Iba Field plots formation of airplanes 75 mi offshore, heading for Corregidor. AAF P-40’s are sent out to intercept but make no contact. Shortly before 0930, after aircraft are detected over Lingayen Gulf heading toward Manila, B-17’s at Clark Field are ordered airborne to prevent being caught on the ground. Ftrs from Clark and Nichols Fields are sent to intercept the enemy but do not make contact. The airplanes swing E and bomb mili- tary installations at Baguio. Tarlac, Tuguegarao, and A/Fs at Cabantuan are also attacked. By 1130 the B-17’s and ftrs sent into the air earlier have landed at Clark and Iba for refueling, and radar has disclosed another flight of aircraft 70 mi W of Lingayen Gulf, headed S. Ftrs from Iba make a fruitless search over S China Sea. Ftrs from Nichols are dispatched to patrol over Bataan and Manila. Around 1145 a formation is reported headed S over Lingayen Gulf. Ftrs are ordered from Del Carmen to cover Clark Field but fail to arrive before the Japanese hit Clark shortly after noon. HBs and many ftrs at Clark Field are caught on the ground, but a few P-40’s manage to get airborne. 2d Lt Randall B Keator (20th Pur Sq) shoots down the first Japanese aircraft over the Philippines. The P-40’s earlier sent on patrol of S China Sea return to Iba Field with fuel running low at the beginning of an attack on that A/F. They fail to prevent bombing but manage to prevent low-level strafing of the sort which proved so destructive at Clark. At the end of the day’s action it is apparent that the Japanese have won a major victory. The effective striking power of Far East AF has been destroyed, the ftr strength has been seriously reduced, most B-17 maintenance facilities have been demolished, and about 80 men have been killed.",15.18,120.56,15.18,120.56,1941-12-08T06:00:00Z,0.6,25000,182,15.18:120.56;16.02:120.23;15.18:120.56,Clark Field Philippines,Lingayen,,,Reconnaissance
FEAF-19411208-01,FEAF,P-40 Warhawk,"First word of Japanese attack on Pearl Harbor is received on Luzon in the Philippines by commercial radio between 03000330 local time. Within 30 minutes radar at Iba Field plots formation of airplanes 75 mi offshore, heading for Corregidor. AAF P-40’s are sent out to intercept but make no contact. Shortly before 0930, after aircraft are detected over Lingayen Gulf heading toward Manila, B-17’s at Clark Field are ordered airborne to prevent being caught on the ground. Ftrs from Clark and Nichols Fields are sent to intercept the enemy but do not make contact. The airplanes swing E and bomb mili- tary installations at Baguio. Tarlac, Tuguegarao, and A/Fs at Cabantuan are also attacked. By 1130 the B-17’s and ftrs sent into the air earlier have landed at Clark and Iba for refueling, and radar has disclosed another flight of aircraft 70 mi W of Lingayen Gulf, headed S. Ftrs from Iba make a fruitless search over S China Sea. Ftrs from Nichols are dispatched to patrol over Bataan and Manila. Around 1145 a formation is reported headed S over Lingayen Gulf. Ftrs are ordered from Del Carmen to cover Clark Field but fail to arrive before the Japanese hit Clark shortly after noon. HBs and many ftrs at Clark Field are caught on the ground, but a few P-40’s manage to get airborne. 2d Lt Randall B Keator (20th Pur Sq) shoots down the first Japanese aircraft over the Philippines. The P-40’s earlier sent on patrol of S China Sea return to Iba Field with fuel running low at the beginning of an attack on that A/F. They fail to prevent bombing but manage to prevent low-level strafing of the sort which proved so destructive at Clark. At the end of the day’s action it is apparent that the Japanese have won a major victory. The effective striking power of Far East AF has been destroyed, the ftr strength has been seriously reduced, most B-17 maintenance facilities have been demolished, and about 80 men have been killed.",15.18,120.56,15.18,120.56,1941-12-08T06:00:00Z,0.3,15000,310,15.18:120.56;16.02:120.23;15.18:120.56,Clark Field Philippines,Lingayen,,,Reconnaissance
ALASKADEFCMD-19411208-00,Alaska Def Cmd,B-18,Starting today bmrs fly armed rcn each morning from Anchorage to Kodiak.,61.24,-149.81,57.80,-152.40,1941-12-08T06:00:00Z,2,12000,210,,Elmendorf Field Alaska,Kodiak,,,Patrol
FEAF-19411209-00,FEAF,B-17 Flying Fortress,"Shortly after 0300 aircraft attack Nichols Field. This attack, added to the previous day’s raids on Clark and lba Fields, leaves FEAF strength reduced by half. Only 17 of 35 B-17’s remain in commission; about 55 P-40’s,3 P-35’s, and close to 30 other aircraft (B-10’s, B-18’s, and observation airplanes) have been lost in aerial combat or destroyed on the ground. During morning and afternoon, B-17’s from Mindanao fly rcn missions and land on Clark and San Marcelino Fields. Several more B-17’s are flown from Mindanao to these Luzon bases for resistance against possible invasion attempt.",15.18,120.56,,,1941-12-09T06:00:00Z,,25000,182,,Clark Field Philippines,,,,Reconnaissance
FEAF-19411209-01,FEAF,P-40 Warhawk,"Shortly after 0300 aircraft attack Nichols Field. This attack, added to the previous day’s raids on Clark and lba Fields, leaves FEAF strength reduced by half. Only 17 of 35 B-17’s remain in commission; about 55 P-40’s,3 P-35’s, and close to 30 other aircraft (B-10’s, B-18’s, and observation airplanes) have been lost in aerial combat or destroyed on the ground. During morning and afternoon, B-17’s from Mindanao fly rcn missions and land on Clark and San Marcelino Fields. Several more B-17’s are flown from Mindanao to these Luzon bases for resistance against possible invasion attempt.",15.18,120.56,,,1941-12-09T06:00:00Z,,15000,310,,Clark Field Philippines,,,,Reconnaissance
FEAF-19411210-00,FEAF,B-17 Flying Fortress,"B-17’s, P-40’s, and P-35’s attack a convoy landing troops and equipment at Vigan and at Aparri in N Luzon. 1 transport at Vigan is destroyed. The strikes include the much publicized attack of Capt Colin P Kelly Jr (14th Bomb Sq) on a warship off Aparri. Capt Kelly, who is killed when his B-17 is shot down by ftrs as he is returning to Clark Field, is later posthumously awarded the DSC for destroying a battleship. However, later information reveals that he attacked the heavy cruiser Ashigara, probably scoring near misses.",15.18,120.56,,,1941-12-10T06:00:00Z,,25000,182,,Clark Field Philippines,,,,Strategic Bombing
